Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
27,Charlie Villanueva,PF,23,MIL,76,31,1829,7,16,0.435,1.1,3.6,0.297,5.9,12.4,0.475,2.4,3.1,0.783,2.9,6.3,9.2,1.5,0.6,0.7,2.1,3.4,17.4
28,Charlie Ward,PG,30,NYK,61,33,1492,3.7,9,0.416,1.6,4.2,0.383,2.1,4.8,0.444,1.4,1.7,0.8,0.8,3.1,3.8,6.6,1.7,0.2,2.7,3.2,10.4
29,Charlie Ward,PG,26,NYK,79,21,1763,2.7,6.9,0.395,1,3.1,0.312,1.7,3.7,0.464,1.9,2.6,0.76,0.9,3.6,4.5,6.7,1.7,0.3,3,3.8,8.4
30,Chase Budinger,SF,25,MIN,41,8,751,4.8,12.2,0.394,2,5.8,0.35,2.8,6.4,0.433,1.5,1.9,0.821,0.9,4,4.9,1.5,0.9,0.1,1.2,2.8,13.1
31,Chauncey Billups,SG,24,MIN,77,33,1790,5,11.8,0.422,1.5,3.9,0.376,3.5,7.9,0.445,2.9,3.4,0.842,0.6,2.5,3.2,5.2,1,0.2,2.2,3.6,14.3
32,Chauncey Billups,PG,31,DET,78,78,2522,5.6,12.5,0.448,2,4.9,0.401,3.7,7.6,0.479,5.7,6.2,0.918,0.6,2.4,3,7.6,1.4,0.2,2.3,1.9,18.9
33,Cherokee Parks,C,28,LAC,52,31,876,4.8,9.7,0.492,0,0.2,0,4.8,9.5,0.504,0.8,1.1,0.704,2.4,5.4,7.8,1.6,0.8,1,1.3,4.2,10.3
34,Cherokee Parks,C,28,TOT,65,31,1054,4.6,9.4,0.489,0,0.2,0,4.6,9.2,0.5,1.1,1.5,0.705,2.4,5.4,7.8,1.6,0.9,1.2,1.4,4.2,10.2
35,Cherokee Parks,PF,24,MIN,76,0,961,3.9,7.6,0.51,0,0,0,3.9,7.5,0.512,1.7,2.8,0.605,3.1,4.2,7.3,1.3,1.5,1.8,1.2,5.6,9.4
36,Chris Andersen,C,35,MIA,72,0,1396,4.6,7.1,0.644,0.1,0.3,0.25,4.5,6.8,0.662,3.1,4.4,0.71,3.3,6.4,9.8,0.5,0.8,2.5,1.4,4.2,12.3
37,Chris Bosh,C,23,TOR,67,67,2425,7.5,15.2,0.494,0.1,0.4,0.4,7.4,14.9,0.496,7,8.3,0.844,2.6,6.1,8.7,2.5,0.9,1,2.3,2.3,22.2
